reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2IBPI20UZIR0U,1384719342,"cassandra tu ""Yeah, well, that's just like, u...","[0, 0]","Not much to write about here, but it does exactly what it's supposed to. filters out the pop sounds. now my recordings are much more crisp. it is one of the lowest prices pop filters on amazon so might as well buy it, they honestly work the same despite their pricing,",5,good,1393545600,"02 28, 2014"
A14VAT5EAX3D9S,1384719342,Jake,"[13, 14]","The product does exactly as it should and is quite affordable.I did not realized it was double screened until it arrived, so it was even better than I had expected.As an added bonus, one of the screens carries a small hint of the smell of an old grape candy I used to buy, so for reminiscent's sake, I cannot stop putting the pop filter next to my nose and smelling it after recording. :DIf you needed a pop filter, this will work just as well as the expensive ones, and it may even come with a pleasing aroma like mine did!Buy this product! :]",5,Jake,1363392000,"03 16, 2013"
A195EZSQDW3E21,1384719342,Rick Bennette "Rick Bennette","[1, 1]","The primary job of this device is to block the breath that would otherwise produce a popping sound, while allowing your voice to pass through with no noticeable reduction of volume or high frequencies. The double cloth filter blocks the pops and lets the voice through with no coloration. The metal clamp mount attaches to the mike stand secure enough to keep it attached. The goose neck needs a little coaxing to stay where you put it.",5,It Does The Job Well,1377648000,"08 28, 2013"
A2C00NNG1ZQQG2,1384719342,RustyBill "Sunday Rocker","[0, 0]",Nice windscreen protects my MXL mic and prevents pops. Only thing is that the gooseneck is only marginally able to hold the screen in position and requires careful positioning of the clamp to avoid sagging.,5,GOOD WINDSCREEN FOR THE MONEY,1392336000,"02 14, 2014"
A94QU4C90B1AX,1384719342,SEAN MASLANKA,"[0, 0]",This pop filter is great. It looks and performs like a studio filter. If you're recording vocals this will eliminate the pops that gets recorded when you sing.,5,No more pops when I record my vocals.,1392940800,"02 21, 2014"
A2A039TZMZHH9Y,B00004Y2UT,Bill Lewey "blewey","[0, 0]","So good that I bought another one.  Love the heavy cord and gold connectors.  Bass sounds great.  I just learned last night how to coil them up.  I guess I should read instructions more carefully.  But no harm done, still works great!",5,The Best Cable,1356048000,"12 21, 2012"
A1UPZM995ZAH90,B00004Y2UT,Brian,"[0, 0]","I have used monster cables for years, and with good reason. The lifetime warranty is worth the price alone. Simple fact: cables break, but getting to replace them at no cost is where it's at.",5,Monster Standard 100 - 21' Instrument Cable,1390089600,"01 19, 2014"
AJNFQI3YR6XJ5,B00004Y2UT,Fender Guy "Rick","[0, 0]",I now use this cable to run from the output of my pedal chain to the input of my Fender Amp. After I bought Monster Cable to hook up my pedal board I thought I would try another one and update my guitar. I had been using a high end Planet Waves cable that I bought in the 1980's... Once I found out the input jacks on the new Monster cable didn't fit into the Fender Strat jack I was a little disappointed... I didn't return it and as stated I use it for the output on the pedal board. Save your money... I went back to my Planet Waves Cable...I payed $30.00 back in the eighties for the Planet Waves which now comes in at around $50.00. What I'm getting at is you get what you pay for. I thought Waves was a lot of money back in the day...but I haven't bought a guitar cable since this one...20 plus years and still working...Planet Waves wins.,3,Didn't fit my 1996 Fender Strat...,1353024000,"11 16, 2012"
A3M1PLEYNDEYO8,B00004Y2UT,G. Thomas "Tom","[0, 0]",Perfect for my Epiphone Sheraton II.  Monster cables are well constructed.  I have several and never had any problems with any of them over the years.  Got this one because I wanted the 90 degree plug.,5,Great cable,1215302400,"07 6, 2008"
AMNTZU1YQN1TH,B00004Y2UT,Kurt Robair,"[0, 0]",Monster makes the best cables and a lifetime warranty doesnt hurt either. This isnt their top of the line series but it works great with my bass guitar rig and has for some time. You cant go wrong with Monster Cables.,5,Best Instrument Cables On The Market,1389139200,"01 8, 2014"
A2NYK9KWFMJV4Y,B00004Y2UT,Mike Tarrani "Jazz Drummer","[6, 6]","Monster makes a wide array of cables, including some that are very high end. I initially purchased a pair ofMonster Rock Instrument Cable - 21 Feet - Angled to Straight 1/4-Inch plugto use with my keyboards, but when it came time to purchase cables for my bass and guitar I thought I'd pinch a few pennies.  I am so glad I did.I compared this cable model to the more expensive models I previously purchased and, aside from looks, could not detect any difference in sound. I Swapped back and forth between my guitars and keyboards, ensuring that each model was used on each instrument - still no difference.What the more expensive model has going for it is looks. I am not sure it (the higher priced model) is even more sturdy because the molded stress relief ends on this model seem to make it more reliable than its pricier sibling.Bottom line: carefully compare both cables using your own instrument and amp - if possible - before making a purchase decision. You may find, as I did, that higher price does not necessarily equal higher value, even from the same manufacturer.",5,One of the best instrument cables within the brand,1334793600,"04 19, 2012"
A35QFQI0M46LWO,B00005ML71,Christopher C,"[0, 0]",I got it to have it if I needed it. I have found that i don't really need it that often and rarely use it. If I was really good I can see the need. But this is a keyboard not an organ.,4,It works great but I hardly use it.,1398124800,"04 22, 2014"
A2NIT6BKW11XJQ,B00005ML71,Jai,"[0, 0]","If you are not use to using a large sustaining pedal while playing the piano, it may appear little awkward.",3,HAS TO GET USE TO THE SIZE,1384646400,"11 17, 2013"
A1C0O09LOLVI39,B00005ML71,Michael,"[0, 0]","I love it, I used this for my Yamaha ypt-230 and it works great, I would recommend it to anyone",5,awesome,1371340800,"06 16, 2013"
A17SLR18TUMULM,B00005ML71,Straydogger,"[0, 0]",I bought this to use in my home studio to control my midi keyboard. It does just what I wanted it to do.,5,It works!,1356912000,"12 31, 2012"
